0.000	0.000	62.1
0.811	0.334	62.1
0.811	1.141	62.1
1.317	1.595	62.1
1.512	1.614	62.1
1.190	2.030	62.1
1.512	2.453	62.1
1.625	2.622	62.1
1.763	2.761	62.1
2.167	2.846	62.1
2.698	3.017	62.1
3.323	2.969	62.1
3.362	3.142	62.1
2.847	3.512	62.1
1.946	3.917	62.1
1.681	4.033	62.1
0.819	3.954	62.1
-0.100	3.814	62.1
-0.238	3.976	62.1
-0.043	4.255	62.1
0.277	4.383	62.1
1.190	4.353	62.1
1.568	4.509	62.1
2.210	4.342	62.1
2.416	4.443	62.1
2.650	4.259	62.1
3.362	4.132	62.1
3.762	4.388	62.1
4.122	4.614	62.1
4.513	4.854	62.1
4.987	5.000	62.1
